{  {{250,238,217,204,248,124,128,241, 46,170,121, 79, 30,229,213, 70},{1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1}},
  {{148, 63, 58, 78, 34,219, 49,192,157,222,209, 12,219,154, 99, 16},{1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1}},
  {{176,173, 10,172,146,178,233, 66,112,249,231,169, 86,232, 76,121},{1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1}},
  {{ 36, 22,195,255, 67,  9, 37, 15, 78, 34,180,112,230, 97,104, 78},{1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1}},
  {{ 61,224, 25,116,212, 35,224,130,140,200,240,123,144,205,208,203},{1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1}},
  {{235,237, 95, 16,179,251,128,175,197, 34, 60,182, 88, 54,222,  6},{1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1}},
  {{150,252,121, 80,185, 41,100, 67,142, 50, 24,209,196, 70,151,  4},{1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1}},
  {{147,189, 18,192,122,154, 69,172,211,164, 42,221,135, 73, 13,252},{1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1}},
  {{198,201,216,239,220,190,254,186, 34,228, 32,226, 89,  9, 20,124},{0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0}},
  {{134,103,115, 24, 38, 24,106, 51,104,141, 31,147, 50,148, 39,243},{0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0}},
